Year;Kbn_stad;Kbn_amt;Frederiksborg;Holbaek;Soroe;Praestoe;Bornholms;Maribo;Odense;Svendborg
1866;3156;44190;47554;64793;58417;66327;18181;51965;73733;70563
1871;2682;44908;47149;68074;60644;68914;20337;55407;79110;73130
1876;2881;49076;54103;71624;63639;74026;21798;59511;81773;75192
1881;2694;50341;53146;76740;68403;76595;24572;64983;87863;81160
1888;1964;53096;57887;81965;72096;82574;28257;73380;85442;93061
1893;1566;59130;66737;96288;83702;93946;29583;86423;106612;95872
1898;1786;61178;68268;101050;87667;100473;32764;94126;109945;100793
1903;3083;57719;68497;103718;90986;102364;32212;98779;112054;105730
1909;3418;69224;81019;126268;109013;124879;42453;119324;122174;128177
1914;2038;72224;83579;131949;112700;127940;44222;123955;135133;134036
