Year;Hjoerring;Thisted;Aalborg;Viborg;Randers;Aarhus;Vejle;Ringkoebing;Ribe
1866;82412;57494;74322;78950;79164;83723;83930;87403;67584
1871;86357;58721;77094;81760;81359;86588;84847;91107;70710
1876;98727;60120;89706;91524;93991;96236;90765;96830;76799
1881;105900;69414;103007;105254;102398;102056;96372;112413;86767
1888;101467;64701;95518;96357;93715;97362;94843;104119;81723
1893;118128;73878;114145;116921;111544;113890;106494;124452;96879
1898;123042;76411;116724;117237;109862;116371;105365;126151;96034
1903;131207;79417;123342;130641;117050;126249;111636;140817;104965
1909;160185;99903;153502;164750;143952;155349;137209;178002;135181
1914;179055;110285;177346;185859;157910;174935;152454;203626;153616
